City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
311,Villazón,0,BO,1595626273,25,-22.09,-65.59,46.4,21.25
312,Nishihara,40,JP,1595626273,88,26.18,127.76,82.4,5.82
313,Cidreira,100,BR,1595626273,81,-30.18,-50.21,64.09,2.64
314,Saint-Pierre,90,RE,1595626035,63,-21.34,55.48,66.2,11.41
315,Wagar,100,SD,1595626273,44,16.15,36.2,88.39,19.01
316,Peddapalli,96,IN,1595626273,87,18.62,79.37,75.76,4.09
317,Azle,75,US,1595626273,37,32.9,-97.55,98.6,9.17
318,Bokoro,37,TD,1595626273,60,12.38,17.06,82.2,3.58
319,Saint George,75,US,1595626115,26,37.1,-113.58,91.4,8.05
320,Mizdah,0,LY,1595626273,44,31.45,12.98,73.45,9.62
321,Port Blair,36,IN,1595626274,78,11.67,92.75,81.21,4.12
322,Jalesar,75,IN,1595626274,69,27.48,78.32,85.75,8.93
323,Dargaville,20,NZ,1595626274,63,-35.93,173.88,54.68,8.19
324,Ludvika,40,SE,1595626274,76,60.15,15.19,51.01,5.82
325,Vilhena,61,BR,1595626274,40,-12.74,-60.15,81.43,2.91
326,Tuatapere,100,NZ,1595626274,85,-46.13,167.68,46.6,6.67
327,Mabay,92,PH,1595626274,77,6.06,124.47,77.83,4.5
328,Sicuani,100,PE,1595626274,34,-14.27,-71.23,56.82,12.53
329,Kudahuvadhoo,100,MV,1595626274,72,2.67,72.89,82.58,7.85
330,Sungai Penuh,98,ID,1595626274,95,-2.08,101.38,63.99,2.66
331,Paciran,100,ID,1595626275,84,-6.88,112.38,72.41,8.93
332,Shingū,100,JP,1595626275,95,33.73,135.98,75.18,5.68
333,Hasaki,75,JP,1595626275,100,35.73,140.83,75.2,1.12
334,Clarence Town,0,AU,1595626275,93,-32.58,151.78,48.99,3.4
335,Shimoda,100,JP,1595626096,95,34.67,138.95,72,1.01
336,Mlonggo,100,ID,1595626275,78,-6.53,110.7,73.67,7.56
337,Clyde River,40,CA,1595626275,76,70.47,-68.59,51.8,4.7
338,Vila Velha,75,BR,1595626275,73,-20.33,-40.29,77,4.7
339,Iqaluit,75,CA,1595626275,81,63.75,-68.51,48.2,4.7
340,Hamilton,1,US,1595626231,45,39.18,-84.53,90,8.05
341,Tūkrah,0,LY,1595626276,84,32.53,20.58,75.96,5.23
342,Homer,90,US,1595626276,93,59.64,-151.55,55.99,5.82
